pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
2000,4080,CA3 Pyramidal,CA1 Bistratified,e,i,139888.41086861314
2000,4081,CA3 Pyramidal,CA1 Ivy,e,i,69076.63514988721
2000,4083,CA3 Pyramidal,CA1 Oriens Bistratified,e,i,476142.37045373034
2000,4087,CA3 Pyramidal,CA1 O LMR,e,i,673425.8315303042
2000,4089,CA3 Pyramidal,CA1 Recurrent O LM,e,i,2081164.3484694457
2001,2000,CA3 Granule,CA3 Pyramidal,e,e,76.58690108091
2001,2004,CA3 Granule,CA3c Pyramidal,e,e,133.22495805696
2001,2005,CA3 Granule,CA3 LMR Targeting,e,i,53.255096133239995
2001,2013,CA3 Granule,CA3 Lucidum ORAX,e,i,80.26403533702398
2001,2019,CA3 Granule,CA3 Spiny Lucidum,e,i,72.92673555817505
2001,2028,CA3 Granule,CA3 Axo Axonic,e,i,68.727183686112
2001,2035,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.562403784192014
2001,2036,CA3 Granule,CA3 Mossy Fiber Associated,e,i,62.42631801930974
2001,2043,CA3 Granule,CA3 Basket,e,i,58.49439487262401
2001,2044,CA3 Granule,CA3 Basket CCK+,e,i,21.868798608480002
2004,1000,CA3c Pyramidal,DG Granule,e,e,160418.7566737335
2004,1001,CA3c Pyramidal,DG Semilunar Granule,e,e,87352.46675373509
2004,1002,CA3c Pyramidal,DG Mossy,e,e,33393.42821681123
2004,1004,CA3c Pyramidal,DG Total Molecular Layer,e,i,72103.63782101168
2004,1005,CA3c Pyramidal,DG MOLAX,e,i,108931.58216187557
2004,1009,CA3c Pyramidal,DG HICAP,e,i,82111.44264625497
2004,1010,CA3c Pyramidal,DG Axo Axonic,e,i,143794.61716747435
2004,1013,CA3c Pyramidal,DG HIPP,e,i,20095.79671391292
2004,1026,CA3c Pyramidal,DG HIPROM,e,i,164558.27937797178
2004,1027,CA3c Pyramidal,DG AIPRIM,e,i,108136.77620246162
2004,1035,CA3c Pyramidal,DG Basket,e,i,96808.27901181996
2004,1041,CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,180998.38531761212
2004,2000,CA3c Pyramidal,CA3 Pyramidal,e,e,31089.11555366892
2004,2001,CA3c Pyramidal,CA3 Granule,e,e,5108.88681916704
2004,2004,CA3c Pyramidal,CA3c Pyramidal,e,e,37375.237707134394
2004,2005,CA3c Pyramidal,CA3 LMR Targeting,e,i,4152.834730963475
2004,2009,CA3c Pyramidal,CA3 O LM,e,i,15971.373086796002
2004,2013,CA3c Pyramidal,CA3 Lucidum ORAX,e,i,12467.0614729374
2004,2020,CA3c Pyramidal,CA3 Trilaminar,e,i,40886.40713210424
2004,2028,CA3c Pyramidal,CA3 Axo Axonic,e,i,19320.7649099472
2004,2035,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,19935.286052407922
2004,2036,CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,9490.240453686438
2004,2043,CA3c Pyramidal,CA3 Basket,e,i,19491.962611968
2004,2044,CA3c Pyramidal,CA3 Basket CCK+,e,i,8301.174242138999
2004,2047,CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,16555.0318658361
2004,3000,CA3c Pyramidal,CA2 Pyramidal,e,e,1662664.1129644967
2004,3003,CA3c Pyramidal,CA2 Bistratified,e,i,1005433.8114323212
2004,3006,CA3c Pyramidal,CA2 Basket,e,i,1119782.6687443724
2004,3007,CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,541851.3914313504
2004,3008,CA3c Pyramidal,CA2 SP SR,e,i,636442.6318356859
2004,4000,CA3c Pyramidal,CA1 Pyramidal,e,e,2946974.5185329346
2004,4003,CA3c Pyramidal,CA1 Quadrilaminar,e,i,1908198.67785086
2004,4005,CA3c Pyramidal,CA1 LMR,e,i,826291.8395654251
2004,4006,CA3c Pyramidal,CA1 Perforant Path Associated,e,i,1334059.6116201745
2004,4013,CA3c Pyramidal,CA1 Radial Trilaminar,e,i,1107880.820651227
2004,4015,CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,2069167.2803931967
2004,4023,CA3c Pyramidal,CA1 Back Projection,e,i,126018.48160114558
2004,4028,CA3c Pyramidal,CA1 Radiatum,e,i,1362763.212436586
2004,4033,CA3c Pyramidal,CA1 SO SO,e,i,154057.07098671794
2004,4035,CA3c Pyramidal,CA1 Trilaminar,e,i,274426.1152931656
2004,4036,CA3c Pyramidal,CA1 Axo Axonic,e,i,2006266.478154768
2004,4038,CA3c Pyramidal,CA1 Horizontal Axo Axonic,e,i,52687.918220024934
2004,4039,CA3c Pyramidal,CA1 Horizontal Basket,e,i,111868.5426625028
2004,4054,CA3c Pyramidal,CA1 Radiatum Giant,e,e,2221043.9720433573
2004,4055,CA3c Pyramidal,CA1 Oriens Alveus,e,i,1743888.3093962292
2004,4061,CA3c Pyramidal,CA1 R Receiving Apical Targeting,e,i,2023667.388273065
2004,4066,CA3c Pyramidal,CA1 OR LM,e,i,2982732.150530972
2004,4069,CA3c Pyramidal,CA1 O LM,e,i,144040.2728645148
2004,4076,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,e,i,2795497.1552758655
2004,4078,CA3c Pyramidal,CA1 Basket,e,i,2116029.980411057
2004,4079,CA3c Pyramidal,CA1 Basket CCK+,e,i,2795834.074983893
2004,4080,CA3c Pyramidal,CA1 Bistratified,e,i,2179251.9896411938
2004,4081,CA3c Pyramidal,CA1 Ivy,e,i,1842331.581818685
2004,4083,CA3c Pyramidal,CA1 Oriens Bistratified,e,i,81403.51344598243
2004,4087,CA3c Pyramidal,CA1 O LMR,e,i,115467.08815002012
2004,4089,CA3c Pyramidal,CA1 Recurrent O LM,e,i,274726.7904544783
2004,5005,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,e,e,52188.355374704035
2005,2000,CA3 LMR Targeting,CA3 Pyramidal,i,e,-6333.728912114999
2005,2001,CA3 LMR Targeting,CA3 Granule,i,e,-2862.1156771583996
2005,2004,CA3 LMR Targeting,CA3c Pyramidal,i,e,-440.6883700128
2005,2005,CA3 LMR Targeting,CA3 LMR Targeting,i,i,-4841.434196881919
2005,2013,CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,-466.11866121626895
2005,2028,CA3 LMR Targeting,CA3 Axo Axonic,i,i,-2438.5938726239997
2005,2035,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,-377.58289502419194
2005,2036,CA3 LMR Targeting,CA3 Mossy Fiber Associated,i,i,-416.9114405781122
2005,2043,CA3 LMR Targeting,CA3 Basket,i,i,-4829.456375029759
2005,2044,CA3 LMR Targeting,CA3 Basket CCK+,i,i,-3248.4399480832
