pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,v_ij
2005,2036,CA3 LMR Targeting,CA3 Mossy Fiber Associated,i,i,-34.4
2005,2043,CA3 LMR Targeting,CA3 Basket,i,i,-37.6
2005,2044,CA3 LMR Targeting,CA3 Basket CCK+,i,i,-40.4
2009,2000,CA3 O LM,CA3 Pyramidal,i,e,-37.5
2009,2001,CA3 O LM,CA3 Granule,i,e,-19.4
2009,2004,CA3 O LM,CA3c Pyramidal,i,e,-23.0
2009,2005,CA3 O LM,CA3 LMR Targeting,i,i,-24.0
2009,2009,CA3 O LM,CA3 O LM,i,i,-36.5
2009,2013,CA3 O LM,CA3 Lucidum ORAX,i,i,-28.200000000000003
2009,2020,CA3 O LM,CA3 Trilaminar,i,i,-20.799999999999997
2009,2028,CA3 O LM,CA3 Axo Axonic,i,i,-22.5
2009,2035,CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,-33.0
2009,2036,CA3 O LM,CA3 Mossy Fiber Associated,i,i,-34.4
2009,2043,CA3 O LM,CA3 Basket,i,i,-37.6
2009,2044,CA3 O LM,CA3 Basket CCK+,i,i,-40.4
2009,2047,CA3 O LM,CA3 Horizontal Axo Axonic,i,i,-37.0
2013,2000,CA3 Lucidum ORAX,CA3 Pyramidal,i,e,-37.5
2013,2001,CA3 Lucidum ORAX,CA3 Granule,i,e,-19.4
2013,2004,CA3 Lucidum ORAX,CA3c Pyramidal,i,e,-23.0
2013,2005,CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,-24.0
2013,2009,CA3 Lucidum ORAX,CA3 O LM,i,i,-36.5
2013,2013,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,-28.200000000000003
2013,2019,CA3 Lucidum ORAX,CA3 Spiny Lucidum,i,i,-32.8
2013,2020,CA3 Lucidum ORAX,CA3 Trilaminar,i,i,-20.799999999999997
2013,2028,CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,-22.5
2013,2035,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,-33.0
2013,2036,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,-34.4
2013,2043,CA3 Lucidum ORAX,CA3 Basket,i,i,-37.6
2013,2044,CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,-40.4
2013,2047,CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,i,i,-37.0
2013,3007,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,i,i,-25.099999999999994
2019,1000,CA3 Spiny Lucidum,DG Granule,i,e,-20.6
2019,1001,CA3 Spiny Lucidum,DG Semilunar Granule,i,e,-29.0
2019,1004,CA3 Spiny Lucidum,DG Total Molecular Layer,i,i,-30.700000000000003
2019,1005,CA3 Spiny Lucidum,DG MOLAX,i,i,-30.700000000000003
2019,1007,CA3 Spiny Lucidum,DG Neurogliaform,i,i,-40.00000000000001
2019,1008,CA3 Spiny Lucidum,DG MOPP,i,i,-40.00000000000001
2019,1009,CA3 Spiny Lucidum,DG HICAP,i,i,-31.5
2019,1010,CA3 Spiny Lucidum,DG Axo Axonic,i,i,-17.900000000000006
2019,1026,CA3 Spiny Lucidum,DG HIPROM,i,i,-31.200000000000003
2019,1027,CA3 Spiny Lucidum,DG AIPRIM,i,i,-22.0
2019,1035,CA3 Spiny Lucidum,DG Basket,i,i,-26.299999999999997
2019,1041,CA3 Spiny Lucidum,DG Hilar Ectopic Granule,i,e,-30.0
2019,2000,CA3 Spiny Lucidum,CA3 Pyramidal,i,e,-37.5
2019,2001,CA3 Spiny Lucidum,CA3 Granule,i,e,-19.4
2019,2004,CA3 Spiny Lucidum,CA3c Pyramidal,i,e,-23.0
2019,2005,CA3 Spiny Lucidum,CA3 LMR Targeting,i,i,-24.0
2019,2013,CA3 Spiny Lucidum,CA3 Lucidum ORAX,i,i,-28.200000000000003
2019,2019,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,-32.8
2019,2028,CA3 Spiny Lucidum,CA3 Axo Axonic,i,i,-22.5
2019,2035,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,i,i,-33.0
2019,2036,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,i,i,-34.4
2019,2043,CA3 Spiny Lucidum,CA3 Basket,i,i,-37.6
2019,2044,CA3 Spiny Lucidum,CA3 Basket CCK+,i,i,-40.4
2019,4011,CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,-51.3
2020,2000,CA3 Trilaminar,CA3 Pyramidal,i,e,-37.5
2020,2001,CA3 Trilaminar,CA3 Granule,i,e,-19.4
