injection_seed,sender,receiver,edge_present,weight
EC LIV VI Deep Multipolar Principal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LV Deep Pyramidal,EC LV Deep Pyramidal,MEC LV VI Pyramidal Polymorphic,1,633.5577406795122
EC LV Deep Pyramidal,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,1,86.77596588341953
EC LV Deep Pyramidal,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,1,2246.3636143897743
EC LV Deep Pyramidal,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,1,304.0317537911717
EC LV Deep Pyramidal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
EC LV Deep Pyramidal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
EC LV Deep Pyramidal,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
EC LV Deep Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,1,814.9191961799069
LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,1,539.4518276519966
LEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,1,30698.001365671505
LEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,1,861.1914192115519
LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
LEC LIII Complex Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
LEC LIII Complex Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
LEC LIII Complex Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
LEC LIII Complex Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
LEC LIII Multipolar Principal,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
LEC LIII Multipolar Principal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
