variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
no_self,32,(-0.034142873139736234+0.007141245355197298j),7,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.082178512854829,0.02459195027322723,0.08577920489997663
no_self,32,(-0.034142873139736234+0.007141245355197298j),7,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.05326197203218159,-0.0018478165412835182,0.05329401552451396
no_self,32,(-0.034142873139736234+0.007141245355197298j),7,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.13704876155318374,0.020380291924660808,0.13855583474612612
no_self,32,(-0.034142873139736234+0.007141245355197298j),7,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.06802858719650474,0.011553994697336454,0.06900277870795152
no_self,32,(-0.034142873139736234+0.007141245355197298j),7,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.09610266555706827,0.01362658910702994,0.0970639287164163
no_self,32,(-0.034142873139736234+0.007141245355197298j),8,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.03450883804922361,-0.02757888795513961,0.04417527548696995
no_self,32,(-0.034142873139736234+0.007141245355197298j),8,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.04922324898117948,-0.005169922188023373,0.04949400302757298
no_self,32,(-0.034142873139736234+0.007141245355197298j),8,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.07616040584509781,-0.03532643223249737,0.08395453670152221
no_self,32,(-0.034142873139736234+0.007141245355197298j),8,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.040648587281469535,-0.01703529659829075,0.04407390359578991
no_self,32,(-0.034142873139736234+0.007141245355197298j),8,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.055512359321479854,-0.023996784754665653,0.06047700154603272
no_self,32,(-0.034142873139736234+0.007141245355197298j),9,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.06686505281258719,0.013682079571054719,0.06825052812263614
no_self,32,(-0.034142873139736234+0.007141245355197298j),9,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.04692568408764063,-0.0036431733394808228,0.04706689430028874
no_self,32,(-0.034142873139736234+0.007141245355197298j),9,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.12287699803807052,0.013639884944356261,0.12363172371257816
no_self,32,(-0.034142873139736234+0.007141245355197298j),9,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.05736498432680593,0.0057913246867705385,0.05765657697472412
no_self,32,(-0.034142873139736234+0.007141245355197298j),9,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.08527443276793228,0.008734792640431957,0.08572062462653868
no_self,32,(-0.034142873139736234+0.007141245355197298j),10,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.03675071952524364,-0.01833781892319615,0.04107177849184346
no_self,32,(-0.034142873139736234+0.007141245355197298j),10,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.04536093997217071,-0.003946713419941413,0.0455323118453041
no_self,32,(-0.034142873139736234+0.007141245355197298j),10,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.07701391378862639,-0.027482879334974356,0.08177072565156027
no_self,32,(-0.034142873139736234+0.007141245355197298j),10,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.03974067962076534,-0.011761173121095227,0.041444502770629145
no_self,32,(-0.034142873139736234+0.007141245355197298j),10,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.05526483103440161,-0.01836943808590086,0.058237769573127575
no_self,33,(0.017453701347668747-0.005320661231766851j),0,1,CA1 LMR (I),(-0.13948879054912372+0.38669060568489416j),-0.13948879054912372,0.38669060568489416,0.4110799766636751
no_self,33,(0.017453701347668747-0.005320661231766851j),0,2,CA1 Horizontal Basket (I),(-0.039898159456026094-0.2830047864061567j),-0.039898159456026094,-0.2830047864061567,0.28580338041523035
no_self,33,(0.017453701347668747-0.005320661231766851j),0,3,CA2 Wide Arbor Basket (I),(-0.0218975855608279+0.26770855969747953j),-0.0218975855608279,0.26770855969747953,0.26860263808960017
