target,source,weight,absolute_weight,weight_share,cumulative_weight_share
EC LIII V Bipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,6364.941053528994,6364.941053528994,0.0005183003410441267,0.9433698476560431
EC LI II Multipolar Pyramidal,EC LIII V Bipolar Pyramidal,6342.237378644648,6342.237378644648,0.0005164515694158352,0.943886299225459
CA2 Pyramidal,CA2 Wide Arbor Basket,6215.67275303853,6215.67275303853,0.0005061453484997119,0.9443924445739587
CA3 Pyramidal,CA1 Radial Trilaminar,6065.333013846976,6065.333013846976,0.0004939031081647029,0.9448863476821233
MEC LII Stellate,CA2 Pyramidal,6045.530483170607,6045.530483170607,0.000492290578163752,0.9453786382602871
MEC LV Pyramidal,DG MOLAX,5949.052704150132,5949.052704150132,0.0004844343442491006,0.9458630726045362
CA1 Pyramidal,EC LIII V Bipolar Pyramidal,5659.759259805604,5659.759259805604,0.0004608770340392181,0.9463239496385754
CA1 Pyramidal,CA1 Recurrent O LM,5621.75319973284,5621.75319973284,0.00045778218151320204,0.9467817318200885
CA3 Pyramidal,CA1 Schaffer Collateral Associated,5590.385362984531,5590.385362984531,0.0004552278828405614,0.9472369597029291
CA2 Pyramidal,CA1 Pyramidal,5532.563189259333,5532.563189259333,0.0004505193942450438,0.9476874790971741
MEC LII Stellate,CA3 Basket CCK+,5518.418064222961,5518.418064222961,0.0004493675496216913,0.9481368466467958
CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,5382.001268082903,5382.001268082903,0.0004382590615196157,0.9485751057083154
CA3c Pyramidal,DG Total Molecular Layer,5364.510653883269,5364.510653883269,0.0004368347920364419,0.9490119405003519
EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728,5351.494110639728,0.00043577484839429264,0.9494477153487462
CA2 Pyramidal,CA1 Recurrent O LM,5338.129716687311,5338.129716687311,0.00043468657909452504,0.9498824019278407
CA3c Pyramidal,DG HIPROM,5252.700277744859,5252.700277744859,0.0004277300170514985,0.9503101319448922
DG Semilunar Granule,DG Mossy,5155.105798787127,5155.105798787127,0.00041978284970110006,0.9507299147945933
DG Semilunar Granule,DG Total Molecular Layer,5129.358075965296,5129.358075965296,0.0004176861997231296,0.9511476009943165
CA2 Pyramidal,CA1 Quadrilaminar,4971.485874204456,4971.485874204456,0.0004048305871847129,0.9515524315815013
EC LI II Pyramidal Fan,MEC LII Stellate,4889.474401375084,4889.474401375084,0.00039815235183586755,0.9519505839333371
EC LIII Pyramidal Stellate,CA1 Radial Trilaminar,4860.479048130247,4860.479048130247,0.00039579124568435626,0.9523463751790214
CA2 Pyramidal,DG Mossy,4836.413875657298,4836.413875657298,0.0003938316066248398,0.9527402067856463
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,-4691.989954689168,4691.989954689168,0.0003820710943336523,0.9531222778799799
CA3c Pyramidal,DG Hilar Ectopic Granule,4595.549003214172,4595.549003214172,0.0003742178593044926,0.9534964957392844
DG Semilunar Granule,DG Hilar Ectopic Granule,4588.842439594102,4588.842439594102,0.00037367174046658297,0.953870167479751
CA2 Pyramidal,DG Total Molecular Layer,4467.223027545674,4467.223027545674,0.0003637682107697389,0.9542339356905207
CA1 Pyramidal,CA1 Radial Trilaminar,4368.194651198497,4368.194651198497,0.00035570428043603527,0.9545896399709568
EC LIII Pyramidal,CA1 Perforant Path Associated,4323.962922313244,4323.962922313244,0.000352102468577387,0.9549417424395342
CA1 Pyramidal,SUB CA1 Projecting Pyramidal,4318.325857573143,4318.325857573143,0.0003516434395694652,0.9552933858791037
CA2 Pyramidal,DG HIPROM,4275.310492892701,4275.310492892701,0.0003481406768578374,0.9556415265559616
EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,4216.395703649579,4216.395703649579,0.00034334321603291386,0.9559848697719945
CA2 Pyramidal,CA3 Mossy Fiber Associated,4151.864003181872,4151.864003181872,0.0003380883673109409,0.9563229581393055
CA1 Pyramidal,CA1 Quadrilaminar,4107.506974122781,4107.506974122781,0.00033447635219631785,0.9566574344915018
DG Mossy,DG Basket,4083.684523286925,4083.684523286925,0.00033253647808139807,0.9569899709695832
CA3c Pyramidal,CA1 Radiatum Giant,4064.510468839344,4064.510468839344,0.0003309751252148433,0.957320946094798
DG Mossy,DG MOLAX,4049.2685940044794,4049.2685940044794,0.0003297339717055453,0.9576506800665036
CA2 Pyramidal,CA1 Radial Trilaminar,3940.665808486058,3940.665808486058,0.00032089039243290914,0.9579715704589364
MEC LII Stellate,CA3 Pyramidal,3923.6590067203424,3923.6590067203424,0.00031950552003878806,0.9582910759789752
MEC LV Pyramidal,DG HIPROM,3893.2093566284343,3893.2093566284343,0.0003170259897659099,0.9586081019687411
CA1 Pyramidal,CA1 Axo Axonic,3874.96157969986,3874.96157969986,0.0003155400641421159,0.9589236420328833
CA3c Pyramidal,CA3 Lucidum ORAX,3865.0383978400528,3865.0383978400528,0.0003147320144682969,0.9592383740473516
CA1 Pyramidal,MEC LV Multipolar Pyramidal,3851.18781666244,3851.18781666244,0.0003136041546990323,0.9595519782020506
EC LII III Pyramidal Tripolar,DG Basket,3809.1850363378007,3809.1850363378007,0.0003101838472391554,0.9598621620492898
EC LII III Pyramidal Tripolar,DG AIPRIM,3778.840998681755,3778.840998681755,0.00030771291703987814,0.9601698749663297
CA2 Pyramidal,DG Basket,3760.191652094569,3760.191652094569,0.0003061942913974569,0.9604760692577271
CA2 Pyramidal,DG MOLAX,3693.6653367363497,3693.6653367363497,0.00030077702018495186,0.960776846277912
MEC LV Pyramidal,DG Hilar Ectopic Granule,3669.647725263941,3669.647725263941,0.0002988212540415541,0.9610756675319536
DG Semilunar Granule,CA3 Lucidum ORAX,3653.271516152799,3653.271516152799,0.00029748773112344177,0.9613731552630771
DG Mossy,DG Total Molecular Layer,3625.543103188329,3625.543103188329,0.0002952297925541397,0.9616683850556312
CA3 Basket CCK+,CA3 Basket,-3610.667751497859,3610.667751497859,0.0002940184852082457,0.9619624035408395
