target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA3 Pyramidal,CA2 Pyramidal,14,28,0.007422898649321451,0.0006829070236542028,0.023615729433402503,5.069149623494914e-06,0.00017529716611394428,0.00017529716611394428,,
CA3 Pyramidal,CA1 Bistratified,14,41,0.007430961385514579,-2.2295057296999668e-06,0.02331921634939335,-1.6567370986183957e-08,0.00017328419623280225,0.00017328419623280225,,
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,62,70,0.008261520256486998,0.018767266157259745,1.3158900765001317e-08,0.00015504614951708428,1.0871252522316063e-10,0.00015504614951708428,,
CA3c Pyramidal,CA3c Pyramidal,15,15,0.00038096824109277707,0.002023165807495489,0.39739531593117544,7.707619191206044e-07,0.00015139499452880835,0.00015139499452880835,,
CA3 Pyramidal,CA1 Axo Axonic,14,35,0.007218350019295009,-3.0044571161042157e-07,0.01864066528823618,-2.1687223082001895e-09,0.00013455484664301142,0.00013455484664301142,,
CA3c Pyramidal,DG AIPRIM,15,4,0.016102309091796135,-1.2035090644552536e-06,0.00793776691633256,-1.937927495063689e-08,0.00012781637638542036,0.00012781637638542036,,
LEC LIII Multipolar Principal,EC LI II Multipolar Pyramidal,68,62,0.00032118386344249226,0.3978949258461624,5.5977998247153606e-08,0.0001277974295274344,1.7979229744797853e-11,0.0001277974295274344,,
CA3 Pyramidal,CA1 Pyramidal,14,33,0.006586823679710558,0.0012108778569438925,0.01779536327595475,7.975838941355205e-06,0.0001172149202151104,0.0001172149202151104,,
CA3 Pyramidal,CA1 Quadrilaminar,14,54,0.006036261003958,-1.5116110307961416e-08,0.01735483513447888,-9.124478718347505e-11,0.00010475831455237505,0.00010475831455237505,,
CA3 Pyramidal,CA1 O LM,14,46,0.028687212174086558,-3.3339510457171916e-07,0.003635974648511622,-9.564176102650682e-09,0.0001043059762014527,0.0001043059762014527,,
CA2 Pyramidal,CA1 LMR,28,43,0.010300964913933845,-5.16284298548276e-07,0.009970554187407025,-5.318226444960737e-09,0.00010270632885695594,0.00010270632885695594,,
CA2 Pyramidal,CA1 Basket,28,38,0.0096818255520827,-2.1396886270089215e-05,0.010558121757676847,-2.0716092022475727e-07,0.00010222189301547602,0.00010222189301547602,,
EC LI II Multipolar Pyramidal,LEC LIII Complex Pyramidal,62,69,0.010213241950996994,0.009881998952819337,9.133612947966958e-09,0.00010092724626464282,9.328379892434546e-11,0.00010092724626464282,,
EC LII III Pyramidal Tripolar,MEC LII Stellate,67,65,0.0018987240009918425,0.05181250269353873,6.651428741905559e-07,9.837764241567648e-05,1.2629227393143062e-09,9.837764241567648e-05,,
CA3 Pyramidal,CA1 O LMR,14,48,0.026887744295378473,-4.3890451067111405e-07,0.0035375892240722723,-1.1801152253013127e-08,9.51177944789416e-05,9.51177944789416e-05,,
EC LI II Multipolar Pyramidal,LEC LIII Multipolar Principal,62,68,0.005378540500206816,0.017505334229425493,5.5977998247153606e-08,9.41531491226217e-05,3.0107993069282183e-10,9.41531491226217e-05,,
CA3 Pyramidal,CA1 Radiatum,14,56,0.004967283424141357,-6.221957999002392e-08,0.017660191093527993,-3.0906228834148305e-10,8.772317448605042e-05,8.772317448605042e-05,,
LEC LIII Complex Pyramidal,EC LI II Multipolar Pyramidal,69,62,0.0001456416795560061,0.5814649341538697,9.133612947966958e-09,8.468552961309208e-05,1.3302347301563919e-12,8.468552961309208e-05,,
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron,83,83,-0.0027935607660089343,-0.030180152171322413,9.076151406640051e-08,8.431008901798565e-05,-2.5354780475946447e-10,8.431008901798565e-05,,
MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,83,67,-3.3206507992970246e-05,2.3814736667790966,1.1685609894612929e-07,-7.908042435094823e-05,-3.880382983681964e-12,7.908042435094823e-05,,
EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,62,71,0.018277262534273638,0.004301006305335116,1.030783588680636e-08,7.86106214041762e-05,1.8839902266336717e-10,7.86106214041762e-05,,
MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,83,70,-0.00022965645775366254,0.32279149740303914,8.4657060990415e-09,-7.413115188658253e-05,-1.9442040750894475e-12,7.413115188658253e-05,,
MEC LIII Superficial Trilayered Interneuron,EC LI II Multipolar Pyramidal,84,62,-7.701279523276747e-05,0.9185328631259941,6.567470430903124e-09,-7.073878330248982e-05,-5.057792554923974e-13,7.073878330248982e-05,,
EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,62,84,0.01660469270841586,-0.004211434673149337,6.567470430903124e-09,-6.992957860921253e-05,1.0905082837675387e-10,6.992957860921253e-05,,
MEC LII Stellate,EC LII III Pyramidal Tripolar,65,67,0.00046384953425967454,0.15015629473783418,6.651428741905559e-07,6.96499273803028e-05,3.0852621240943065e-10,6.96499273803028e-05,,
