method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,EC LI II Pyramidal Fan,5,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,EC LI II Pyramidal Fan,6,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,EC LI II Pyramidal Fan,7,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,EC LI II Pyramidal Fan,8,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,EC LI II Pyramidal Fan,9,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,EC LI II Pyramidal Fan,10,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,EC LI II Pyramidal Fan,11,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,EC LI II Pyramidal Fan,12,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,EC LI II Pyramidal Fan,13,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,EC LI II Pyramidal Fan,14,transition,EC LIII Pyramidal Stellate,SUB CA1 Projecting Pyramidal,389.79456390732304
greedy_tree_path,EC LI II Pyramidal Fan,15,transition,SUB CA1 Projecting Pyramidal,CA1 Radiatum Giant,8.28772603741471
greedy_tree_path,EC LII III Pyramidal Tripolar,1,transition,EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,4216.395703649579
greedy_tree_path,EC LII III Pyramidal Tripolar,2,transition,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
greedy_tree_path,EC LII III Pyramidal Tripolar,3,transition,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
greedy_tree_path,EC LII III Pyramidal Tripolar,4,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,EC LII III Pyramidal Tripolar,5,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,EC LII III Pyramidal Tripolar,6,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,EC LII III Pyramidal Tripolar,7,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,EC LII III Pyramidal Tripolar,8,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,EC LII III Pyramidal Tripolar,9,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,EC LII III Pyramidal Tripolar,10,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,EC LII III Pyramidal Tripolar,11,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,EC LII III Pyramidal Tripolar,12,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,EC LII III Pyramidal Tripolar,13,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,EC LII III Pyramidal Tripolar,14,transition,EC LIII Pyramidal Stellate,SUB CA1 Projecting Pyramidal,389.79456390732304
greedy_tree_path,EC LII III Pyramidal Tripolar,15,transition,SUB CA1 Projecting Pyramidal,CA1 Radiatum Giant,8.28772603741471
greedy_tree_path,EC LIII Pyramidal,1,transition,EC LIII Pyramidal,CA1 Pyramidal,399.8181948870682
greedy_tree_path,EC LIII Pyramidal,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,EC LIII Pyramidal,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,EC LIII Pyramidal,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,EC LIII Pyramidal,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,EC LIII Pyramidal,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,EC LIII Pyramidal,7,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,EC LIII Pyramidal,8,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,EC LIII Pyramidal,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,EC LIII Pyramidal,10,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,EC LIII Pyramidal,11,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,EC LIII Pyramidal,12,transition,CA3c Pyramidal,CA2 Pyramidal,24424.53581944845
greedy_tree_path,EC LIII Pyramidal,13,transition,CA2 Pyramidal,DG Mossy,4836.413875657298
greedy_tree_path,EC LIII Pyramidal,14,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,EC LIII Pyramidal,15,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,EC LIII Pyramidal,16,transition,CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763
greedy_tree_path,EC LIII Pyramidal Stellate,1,transition,EC LIII Pyramidal Stellate,CA1 Pyramidal,5351.494110639728
greedy_tree_path,EC LIII Pyramidal Stellate,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,EC LIII Pyramidal Stellate,3,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,EC LIII Pyramidal Stellate,4,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,EC LIII Pyramidal Stellate,5,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,EC LIII Pyramidal Stellate,6,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,EC LIII Pyramidal Stellate,7,transition,LEC LIII Complex Pyramidal,EC LIII Stellate,422.07977447495017
greedy_tree_path,EC LIII Pyramidal Stellate,8,transition,EC LIII Stellate,MEC LIII Complex Pyramidal,165.81222907217855
greedy_tree_path,EC LIII Pyramidal Stellate,9,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
