mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,64,EC LIII Pyramidal (E),EC,e,76,-0.008463210985537943,-0.00762988019992343,0.011394780035214094,0.0001298410120509137
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,44,CA3 Spiny Lucidum (I),CA3,i,77,0.0027915274478995528,0.009631416180473727,0.010027801510494098,0.00010055680313386771
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,27,CA1 Trilaminar (I),CA1,i,78,-0.008468094288239674,-0.0051730589265833946,0.009923162778692162,9.846915953242156e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,16,CA1 Perforant Path Associated (I),CA1,i,79,0.009436296591388966,0.001388962056843814,0.009537971951940874,9.097290895601081e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,19,CA1 Quadrilaminar (I),CA1,i,80,-0.0039205842809570055,-0.007788018240190452,0.0087191862701531,7.602420921362632e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,20,CA1 R Receiving Apical Targeting (I),CA1,i,81,-0.0028527314954036784,0.005572848905385286,0.006260568816579056,3.9194721907122085e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,78,MEC LIII Superficial Multipolar Interneuron (I),MEC,i,82,2.4403794577540147e-05,-0.005971659476139095,0.005971709340226769,3.5661312444151636e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,83,MEC LV VI Pyramidal Polymorphic (E),MEC,e,83,0.0004468866613054098,-0.004501344006132858,0.004523472731165836,2.0461805549600907e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,15,CA1 Oriens Bistratified (I),CA1,i,84,0.0022049244176560157,0.002581242013988439,0.0033947756954406886,1.152450202235481e-05
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,23,CA1 Radiatum Giant (I),CA1,e,85,-0.0001253430030671741,-0.0029352820143679894,0.002937957006542148,8.631591372290099e-06
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,71,LEC LIII Multipolar Principal (E),LEC,e,1,-0.22923111340474867,0.30844055675309817,0.3842947832106779,0.1476824804029419
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,42,CA3 O LM (I),CA3,i,2,-0.22594735632212457,0.15877096117752165,0.2761529031934866,0.07626042594219119
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,61,EC LI II Multipolar Pyramidal (E),EC,e,3,0.1378988447990414,-0.21291958633502783,0.2536746767850301,0.06435084164198948
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,75,MEC LII Stellate (E),MEC,e,4,-0.0981632739447434,0.18912484652902264,0.21308269738807303,0.04540423592617711
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,1,CA1 Back Projection (E),CA1,i,5,0.1724278533568957,-0.12071624525096344,0.21048462290808295,0.04430377648075788
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,66,EC LIII Stellate (E),EC,e,6,0.11902951582371205,-0.16530404465005366,0.2036994178069595,0.04149345281489425
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,39,CA3 Lucidum ORAX (I),CA3,i,7,0.1731316089497008,-0.09622862807400584,0.19807701249392234,0.03923450287851747
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,22,CA1 Radiatum (I),CA1,i,8,0.06510261280329571,-0.18352231273137604,0.19472747485675673,0.037918789464088824
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,60,DG Total Molecular Layer (E),DG,i,9,0.16784784253595064,-0.08240707566969414,0.18698616089006154,0.03496382436440398
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,77,MEC LIII Complex Pyramidal (E),MEC,e,10,0.11973555629477729,-0.11773055412863774,0.1679198821362613,0.02819708681665589
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,40,CA3 Mossy Fiber Associated (I),CA3,i,11,0.08821531878426953,-0.13798722477660014,0.16377550692871712,0.026822416669758268
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,34,CA3 Basket (I),CA3,i,12,-0.11984917906847203,0.1040426407991514,0.15870947302492033,0.025188696827847915
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,26,CA1 Schaffer Collateral Associated (I),CA1,i,13,0.11314703299065258,-0.10736075964485227,0.15597622827247606,0.024328583786107562
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,70,LEC LIII Complex Pyramidal (E),LEC,e,14,0.08915231949244552,-0.12679076038692214,0.15499688058272976,0.02402403299037699
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,55,DG MOLAX (I),DG,i,15,-0.09116115036793455,-0.12079548107964411,0.15133374899759747,0.02290190358566783
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,35,CA3 Basket CCK+ (I),CA3,i,16,0.12131407512364079,-0.08212682217808978,0.14649887284268073,0.02146191974417594
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,68,EC LIV VI Deep Multipolar Principal (E),EC,e,17,0.07694140828433856,-0.10989835589904351,0.13415524193295658,0.01799762893809011
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,18,CA1 Pyramidal (E),CA1,e,18,-0.09066468407968045,0.09010796267699638,0.12782617054839449,0.016339529877067233
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,12,CA1 O LMR (I),CA1,i,19,-0.09462583730555191,0.08543508007461892,0.12748804647155482,0.01625320199313332
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,4,CA1 Bistratified (I),CA1,i,20,0.053199474111684006,-0.11553513907859976,0.12719493860870065,0.01617855240767113
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,57,DG Mossy (E),DG,e,21,-0.016152587122651677,0.1258120438427655,0.12684469419983163,0.0160895764466488
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,36,CA3 Granule (E),CA3,e,22,0.09642952951549599,-0.06963631995164037,0.11894482426313109,0.014147871218987139
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,41,CA3 Mossy Fiber Associated ORDEN (I),CA3,i,23,0.08045076002260586,-0.08217456485896221,0.11499992999117306,0.013224983897974706
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,9,CA1 Neurogliaform (I),CA1,i,24,0.06914741238669038,-0.09097169869132331,0.11426816968237452,0.013057214602559935
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,51,DG HICAP (I),DG,i,25,-0.04446620264681987,0.09959635930111038,0.10907189355587409,0.011896677963863928
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,37,CA3 Horizontal Axo Axonic (I),CA3,i,26,-0.08564039504699199,0.05879668001570564,0.10388131133497559,0.010791326844674128
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,53,DG HIPROM (I),DG,i,27,0.008128141256723065,-0.09501595758213918,0.09536298482923086,0.009094098875540116
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,38,CA3 LMR Targeting (I),CA3,i,28,0.047918561752667135,-0.07945121370748508,0.09278299370055182,0.008608683920036638
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,0,CA1 Axo Axonic (I),CA1,i,29,-0.06097858275506024,0.06909265309483616,0.09215303720713225,0.008492182266499101
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,81,MEC LV Pyramidal (E),MEC,e,30,-0.05840398413458748,0.06322629019367575,0.0860731615223238,0.007408589134448043
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,2,CA1 Basket (I),CA1,i,31,0.07714392949052018,-0.02777320913542582,0.08199107880079667,0.00672253700291845
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,3,CA1 Basket CCK+ (I),CA1,i,32,-0.07150713946605694,0.03491170182464553,0.07957448032448014,0.006332097918911077
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,50,DG Granule (E),DG,e,33,0.07565138948933997,-0.019583952598661906,0.0781451465610914,0.006106663931054454
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,10,CA1 Neurogliaform Projecting (I),CA1,i,34,-0.03427420848332159,0.06775975147719125,0.07593487530383464,0.005766105287408916
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,49,DG Basket (I),DG,i,35,0.07268256444970482,0.0212773531972491,0.07573295804381328,0.005735480934065982
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,73,MEC LII III Pyramidal Multiform (E),MEC,e,36,0.04011852983115916,-0.061473899781387696,0.07340665358225851,0.005388536790145706
36,-0.0033511000434019245,-0.002095373115554785,0.0039522727631425125,7,CA1 Ivy (I),CA1,i,37,0.04111262098774453,-0.059313685840296955,0.07216897486069325,0.005208360932443375
