Presynaptic,Postsynaptic,wij
CA1 Radiatum Giant,CA1 Horizontal Axo Axonic,430.4094116038891
CA1 Radiatum Giant,CA1 Basket,702.487195640568
CA1 Radiatum Giant,CA1 Basket CCK+,842.7368119442688
CA1 Radiatum Giant,CA1 Horizontal Basket,1168.9013802282343
CA1 Radiatum Giant,CA1 Ivy,1110.7505226554883
CA1 Radiatum Giant,CA1 Recurrent O LM,2623.70166767136
CA1 Radiatum Giant,CA1 O LMR,846.0242332026314
CA1 Radiatum Giant,CA1 Oriens Alveus,549.5984967949057
CA1 Radiatum Giant,CA1 Oriens Bistratified,666.6998045368321
CA1 Radiatum Giant,CA1 OR LM,1217.9702732666112
CA1 Radiatum Giant,CA1 Perforant Path Associated QuadD,596.7808386048
CA1 Radiatum Giant,CA1 SO SO,1478.02807798512
CA1 Radiatum Giant,CA1 Trilaminar,2390.54634602496
CA1 Radiatum Giant,CA1 Radial Trilaminar,392.77359470950273
CA1 Axo Axonic,CA1 Pyramidal,-288.4969942101322
CA1 Axo Axonic,CA1 Radiatum Giant,-25257.262168867488
CA1 Horizontal Axo Axonic,CA1 Pyramidal,-145.04202194554364
CA1 Horizontal Axo Axonic,CA1 Radiatum Giant,-16914.858878841373
CA1 Basket,CA1 Pyramidal,-6486.070905251756
CA1 Basket,CA1 Radiatum Giant,-5897.135275231496
CA1 Basket,CA1 Axo Axonic,-3684.105878699404
CA1 Basket,CA1 Basket,-3937.4169184850407
CA1 Basket,CA1 Basket CCK+,-12244.729838512769
CA1 Basket,CA1 Horizontal Basket,-4629.172014796329
CA1 Basket,CA1 Ivy,-4705.464689871405
CA1 Basket,CA1 OR LM,-2633.5779957736863
CA1 Basket,CA1 Radial Trilaminar,-5058.244394227261
CA1 Basket CCK+,CA1 Pyramidal,-3609.064098415629
CA1 Basket CCK+,CA1 Radiatum Giant,-4191.794690070073
CA1 Basket CCK+,CA1 Axo Axonic,-2652.3740750970405
CA1 Basket CCK+,CA1 Basket,-2685.06561924608
CA1 Basket CCK+,CA1 Basket CCK+,-8908.811549156924
CA1 Basket CCK+,CA1 Horizontal Basket,-3235.689969045949
