null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
42,0.966887670236237,0.966887670236237,28450,14746,14412,188,470.7009803325594,551.4471733304404,3347.6378178744953,3347.6378178744953,856.3841842569194,918.8492271528912,0.7994880802977512,1.167500464540338
43,1.1597268580374873,1.1597268580374873,28205,14637,14418,180,318.69822456968245,398.6565297158696,3380.7403847598584,3380.7403847598584,1304.8125489559784,1357.8213533126807,1.263465395869519,1.4236643388607775
44,0.7990769832976742,0.7228293183673592,27958,14618,14385,200,564.262616169214,654.3644396810796,3750.1019445095317,3750.1019445095317,2134.793034550256,2194.3934137846645,0.29503507842567406,0.38290835917228533
45,0.7798356912932384,0.7798356912932384,28147,14572,14426,200,427.3218255555242,504.89189530964444,2920.3072906195284,2920.3072906195284,2379.1549272356765,2445.864383436342,0.06870584600190716,0.14206100552237058
46,0.7283330190309325,0.7283330190309325,28401,14794,14314,187,249.84485546406162,329.9128148363804,3026.937200407503,3026.937200407503,3017.405851661869,3084.8127680215257,0.31888487767391205,0.3959523344894093
47,1.3245951497059965,1.3245951497059965,28080,14779,14276,184,323.0136428132355,417.0773162346949,2559.2097445156273,2559.2097445156273,1824.6482047055592,1913.1458178379803,2.1900821698953075,3.690901506752202
48,0.7249695911030314,0.7249695911030314,28355,14866,14218,180,425.3026873548216,490.986140931072,2710.01605569311,2710.01605569311,2186.946722122933,2269.154394320627,0.20678193620922844,0.42839073553785584
49,0.6869295705278379,0.6583140227802626,28246,14639,14243,188,406.03030414077386,496.70268490535375,3061.6869892309246,3061.6869892309246,1317.9151420534295,1371.6604738719952,-0.2829566775395484,0.7006748886547755
50,0.7954414089982929,0.7954414089982929,28175,14600,14382,179,361.04274808341336,438.8490664095199,2864.043216085275,2864.043216085275,1673.2278716484216,1740.717169036937,0.2753597591798327,0.305936308804876
51,0.8103311982937936,0.8103311982937936,28118,14615,14407,177,284.3244453789321,356.4814085688938,4931.033896268562,4931.033896268562,2313.094202433925,2366.080525547503,0.4869507610178204,0.5129900797124143
52,0.7054469888880882,0.7028361678661181,28068,14768,14286,182,346.24957720210074,422.34848892210465,4096.434189301135,4096.434189301135,1851.7893818450402,1908.1976502155264,0.3546951306746448,0.4828639154009276
53,0.9431033877249576,0.9344486936967605,28320,14476,14356,166,403.97565072398737,492.62315589751825,2744.7612576828724,2744.7612576828724,1533.8944208134822,1605.5215794146015,0.07339078414125011,0.14748581024114882
54,0.8777056749228083,0.8777056749228083,28160,14518,14414,193,360.9132405495436,428.0735910867399,2944.335893920618,2944.335893920618,1193.338484935653,1264.657616644039,0.03468974008713281,0.31399531185659396
55,0.9473754713578909,0.9473754713578909,28549,14592,14433,176,361.9046429135812,438.90498844196367,2812.419662933641,2812.419662933641,1130.9476910466362,1196.451238406133,0.23535429698605076,0.2505060387278304
56,0.9861759145744695,0.9564090771549563,28131,14922,14393,187,351.82357079803705,429.8288584052911,3319.1230424102155,3319.1230424102155,1004.6348763325262,1085.6033611717517,-0.5967884447257888,1.5498790889404732
57,0.843208109313897,0.7452208073273996,28017,14605,14377,183,385.2858597960665,469.1739420148975,4646.860615985989,4646.860615985989,1546.5615450075252,1605.0121901075513,0.12830473610669443,0.5315208389531071
58,0.6848423105505933,0.6443002469103533,28350,14498,14406,182,398.2788345106059,506.54090105495203,3807.4204435557117,3807.4204435557117,1850.659004534305,1917.2973306692083,0.09991011309361886,0.30079858693328676
