table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LV VI Pyramidal Polymorphic,94,0.047
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,LEC LVI Multipolar Pyramidal,38,0.019
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,CA1 Pyramidal,105,0.0525
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,LEC LIII Complex Pyramidal,26,0.013
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LIV VI Deep Multipolar Principal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LIII Complex Pyramidal,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,CA2 Pyramidal,38,0.019
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,CA3 Pyramidal,42,0.021
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,LEC LIII Multipolar Principal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LIII V Bipolar Pyramidal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LIII Stellate,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LIII Pyramidal,17,0.0085
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LV Multipolar Pyramidal,28,0.014
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LV Superficial Pyramidal,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LII III Pyramidal Tripolar,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LI II Multipolar Pyramidal,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LV Deep Pyramidal,40,0.02
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LII Stellate,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LIII Bipolar Complex Pyramidal,19,0.0095
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LV Pyramidal,22,0.011
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,MEC LII III Pyramidal Multiform,24,0.012
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LIII Pyramidal Stellate,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,DG Semilunar Granule,11,0.0055
terminal_distribution,weighted_random_walk_ensemble,CA3c Pyramidal,EC LI II Pyramidal Fan,1,0.0005
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA1 Radiatum Giant,699,0.3495
terminal_distribution,weighted_random_walk_ensemble,DG Granule,DG Mossy,101,0.0505
terminal_distribution,weighted_random_walk_ensemble,DG Granule,DG Hilar Ectopic Granule,104,0.052
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LV Deep Pyramidal,45,0.0225
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LV VI Pyramidal Polymorphic,105,0.0525
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LII III Pyramidal Multiform,26,0.013
terminal_distribution,weighted_random_walk_ensemble,DG Granule,SUB CA1 Projecting Pyramidal,37,0.0185
terminal_distribution,weighted_random_walk_ensemble,DG Granule,LEC LVI Multipolar Pyramidal,47,0.0235
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LII Oblique Pyramidal,15,0.0075
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA3c Pyramidal,80,0.04
terminal_distribution,weighted_random_walk_ensemble,DG Granule,MEC LV Pyramidal,18,0.009
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LII III Pyramidal Tripolar,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Granule,LEC LIII Complex Pyramidal,24,0.012
terminal_distribution,weighted_random_walk_ensemble,DG Granule,EC LIII Stellate,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,DG Granule,CA3 Granule,116,0.058
