variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,44.32367245171054,-0.0011408165595718466,-0.05056517951394986,0.05056517951394986
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,9.365947263006232,-0.005157674101581091,-0.04830650363518155,0.04830650363518155
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,44.32367245171054,-0.0010486491538633602,-0.04647998161260299,0.04647998161260299
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.002239014693335,-0.02302873764378661,-0.04610903696952662,0.04610903696952662
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,2.514463572723999,-0.018115692065530736,-0.045551247793462216,0.045551247793462216
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.002239014693335,-0.022096581780776416,-0.04424263813283247,0.04424263813283247
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,9.365947263006232,-0.004579881799280638,-0.04289493140286455,0.04289493140286455
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,9.365947263006232,-0.003971585149013817,-0.037197657056202156,0.037197657056202156
no_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,11.138254913475606,-0.003315143746241922,-0.036924916120457014,0.036924916120457014
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,2.514463572723999,-0.013787989067777777,-0.034669396252043946,0.034669396252043946
no_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,6.830157000184078,-0.00489592357139718,-0.033439926653544685,0.033439926653544685
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,2.514463572723999,-0.013291370335304377,-0.03342066653970722,0.03342066653970722
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,2.561551553723309,-0.01238477727086254,-0.031724245460695064,0.031724245460695064
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.521174350239702,-0.011961115777237265,-0.03015605829781801,0.03015605829781801
no_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.5492966894397662,-0.018115692065530736,-0.02806658174403701,0.02806658174403701
no_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.5384224807913458,-0.018115692065530736,-0.027869587928705895,0.027869587928705895
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.2960699236044015,-0.011961115777237265,-0.02746355818886457,0.02746355818886457
no_self,E-I-E,DG Granule,DG Basket,DG Granule,1.9958106983675692,-0.013595092127475669,-0.027133230313308655,0.027133230313308655
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,23.381062547084515,-0.001158758798049345,-0.027093011934176212,0.027093011934176212
no_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.2477019606766901,-0.10842850578873132,-0.02685795347711259,0.02685795347711259
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,2.561551553723309,-0.010452862977219474,-0.026775547400153397,0.026775547400153397
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,19.99299452996248,-0.001310721469722834,-0.026205247174473003,0.026205247174473003
