pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,tau_d
2013,2020,CA3 Lucidum ORAX,CA3 Trilaminar,i,i,6.058
2013,2028,CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,5.002
2013,2035,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,6.119
2013,2036,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,6.583050319
2013,2043,CA3 Lucidum ORAX,CA3 Basket,i,i,4.184
2013,2044,CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,4.673
2013,2047,CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,i,i,5.942
2013,3007,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,i,i,5.648
2019,1000,CA3 Spiny Lucidum,DG Granule,i,e,8.029464678
2019,1001,CA3 Spiny Lucidum,DG Semilunar Granule,i,e,7.025073422
2019,1004,CA3 Spiny Lucidum,DG Total Molecular Layer,i,i,6.698957356
2019,1005,CA3 Spiny Lucidum,DG MOLAX,i,i,6.797780252
2019,1007,CA3 Spiny Lucidum,DG Neurogliaform,i,i,6.811031076
2019,1008,CA3 Spiny Lucidum,DG MOPP,i,i,6.782761888
2019,1009,CA3 Spiny Lucidum,DG HICAP,i,i,6.716751525
2019,1010,CA3 Spiny Lucidum,DG Axo Axonic,i,i,7.018411079
2019,1026,CA3 Spiny Lucidum,DG HIPROM,i,i,6.852308388
2019,1027,CA3 Spiny Lucidum,DG AIPRIM,i,i,6.575531249
2019,1035,CA3 Spiny Lucidum,DG Basket,i,i,5.963837555
2019,1041,CA3 Spiny Lucidum,DG Hilar Ectopic Granule,i,e,7.242438117
2019,2000,CA3 Spiny Lucidum,CA3 Pyramidal,i,e,8.607347955
2019,2001,CA3 Spiny Lucidum,CA3 Granule,i,e,7.07289362
2019,2004,CA3 Spiny Lucidum,CA3c Pyramidal,i,e,8.061417012
2019,2005,CA3 Spiny Lucidum,CA3 LMR Targeting,i,i,6.747133349
2019,2013,CA3 Spiny Lucidum,CA3 Lucidum ORAX,i,i,7.004789439
2019,2019,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,6.584593957
2019,2028,CA3 Spiny Lucidum,CA3 Axo Axonic,i,i,6.108196679
2019,2035,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,i,i,6.879133742
2019,2036,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,i,i,6.848902217
2019,2043,CA3 Spiny Lucidum,CA3 Basket,i,i,5.304926915
2019,2044,CA3 Spiny Lucidum,CA3 Basket CCK+,i,i,5.233406955
2019,4011,CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,7.091130066
2020,2000,CA3 Trilaminar,CA3 Pyramidal,i,e,8.711
2020,2001,CA3 Trilaminar,CA3 Granule,i,e,6.298
2020,2004,CA3 Trilaminar,CA3c Pyramidal,i,e,7.864
2020,2005,CA3 Trilaminar,CA3 LMR Targeting,i,i,6.048
2020,2009,CA3 Trilaminar,CA3 O LM,i,i,5.64
2020,2013,CA3 Trilaminar,CA3 Lucidum ORAX,i,i,6.345
2020,2019,CA3 Trilaminar,CA3 Spiny Lucidum,i,i,6.413981083
2020,2020,CA3 Trilaminar,CA3 Trilaminar,i,i,6.162
2020,2028,CA3 Trilaminar,CA3 Axo Axonic,i,i,5.148
2020,2035,CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,i,i,6.272
2020,2036,CA3 Trilaminar,CA3 Mossy Fiber Associated,i,i,6.634836494
2020,2043,CA3 Trilaminar,CA3 Basket,i,i,4.298
