pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,g_ij
2019,1027,CA3 Spiny Lucidum,DG AIPRIM,i,i,1.86656516
2019,1035,CA3 Spiny Lucidum,DG Basket,i,i,1.729505223
2019,1041,CA3 Spiny Lucidum,DG Hilar Ectopic Granule,i,e,1.532121758
2019,2000,CA3 Spiny Lucidum,CA3 Pyramidal,i,e,1.44286576
2019,2001,CA3 Spiny Lucidum,CA3 Granule,i,e,2.189688934
2019,2004,CA3 Spiny Lucidum,CA3c Pyramidal,i,e,1.969573526
2019,2005,CA3 Spiny Lucidum,CA3 LMR Targeting,i,i,1.760248095
2019,2013,CA3 Spiny Lucidum,CA3 Lucidum ORAX,i,i,1.669154338
2019,2019,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,1.252267208
2019,2028,CA3 Spiny Lucidum,CA3 Axo Axonic,i,i,1.681785063
2019,2035,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,i,i,1.687908084
2019,2036,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,i,i,1.622983894
2019,2043,CA3 Spiny Lucidum,CA3 Basket,i,i,2.012800901
2019,2044,CA3 Spiny Lucidum,CA3 Basket CCK+,i,i,1.680377385
2019,4011,CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,1.802778717
2020,2000,CA3 Trilaminar,CA3 Pyramidal,i,e,1.142
2020,2001,CA3 Trilaminar,CA3 Granule,i,e,1.724
2020,2004,CA3 Trilaminar,CA3c Pyramidal,i,e,1.647
2020,2005,CA3 Trilaminar,CA3 LMR Targeting,i,i,1.365
2020,2009,CA3 Trilaminar,CA3 O LM,i,i,1.194
2020,2013,CA3 Trilaminar,CA3 Lucidum ORAX,i,i,1.306
2020,2019,CA3 Trilaminar,CA3 Spiny Lucidum,i,i,1.111705747
2020,2020,CA3 Trilaminar,CA3 Trilaminar,i,i,1.36
2020,2028,CA3 Trilaminar,CA3 Axo Axonic,i,i,1.388
2020,2035,CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,i,i,1.308
2020,2036,CA3 Trilaminar,CA3 Mossy Fiber Associated,i,i,1.452138647
