pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,1.7710538635066735,0.10855,0.1922478968836494
DG Hilar Ectopic Granule,CA3 Basket,e,i,5.892007634630496,0.1496,0.8814443421407223
DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,0.9864374864752801,0.08623,0.0850605044587634
CA3 Pyramidal,CA3 Pyramidal,e,e,266540.7126583063,0.0123,3278.4507656971673
CA3 Pyramidal,CA3 Granule,e,e,41592.496640621466,0.07366,3063.7033025481774
CA3 Pyramidal,CA3c Pyramidal,e,e,395693.84575883904,0.01712,6774.278639391325
CA3 Pyramidal,CA3 LMR Targeting,e,i,29902.143850072167,0.06811,2036.6350176284154
CA3 Pyramidal,CA3 O LM,e,i,86845.92434621646,0.17804,15462.048370600378
CA3 Pyramidal,CA3 Lucidum ORAX,e,i,96208.96061487973,0.31002,29826.701969825015
CA3 Pyramidal,CA3 Trilaminar,e,i,185716.6008594153,0.01016,1886.8806647316596
CA3 Pyramidal,CA3 Axo Axonic,e,i,175688.4680010275,0.11589,20360.53655663908
CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,203028.41063409072,0.12381,25136.947520606773
CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,106324.98761268418,0.10855,11541.577405356868
CA3 Pyramidal,CA3 Basket,e,i,177868.63874469043,0.1496,26609.14835620569
CA3 Pyramidal,CA3 Basket CCK+,e,i,109382.14134671038,0.08623,9432.022048326837
CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,101282.42803019041,0.07827,7927.375641923004
CA3 Pyramidal,CA2 Pyramidal,e,e,848693.1287684537,0.01469,12467.302061608585
CA3 Pyramidal,CA2 Bistratified,e,i,468952.73982715176,0.09557,44817.8133452809
CA3 Pyramidal,CA2 Basket,e,i,485909.8258273281,0.08812,42818.37385190415
